"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1995","1995","USD","US Dollar","0","Units",,,29700.255883,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1996","1996","USD","US Dollar","0","Units",,,30688.480662,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1997","1997","USD","US Dollar","0","Units",,,32535.722596,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1998","1998","USD","US Dollar","0","Units",,,34220.043078,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1999","1999","USD","US Dollar","0","Units",,,35635.757236,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,37615.221205,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,38509.197764,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,39071.714225,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,39759.826204,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,41226.866034,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,42228.332285,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,43760.541177,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,45884.392195,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,46029.151955,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,42110.456274,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,43253.588955,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,44150.573094,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,43326.896934,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,42738.866336,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,42399.7146,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,42490.211112,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,43567.153022,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,44852.705058,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,45298.109387,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,45808.054368,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,44655.694758,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,45981.904358,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,46588.971369,,
