"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1981","1981","TONNEKM","Tonnes-kilometres","6","Millions",,,585,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1982","1982","TONNEKM","Tonnes-kilometres","6","Millions",,,550,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1983","1983","TONNEKM","Tonnes-kilometres","6","Millions",,,505,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1984","1984","TONNEKM","Tonnes-kilometres","6","Millions",,,584,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1985","1985","TONNEKM","Tonnes-kilometres","6","Millions",,,645,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1986","1986","TONNEKM","Tonnes-kilometres","6","Millions",,,604,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1987","1987","TONNEKM","Tonnes-kilometres","6","Millions",,,593,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1988","1988","TONNEKM","Tonnes-kilometres","6","Millions",,,639,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1989","1989","TONNEKM","Tonnes-kilometres","6","Millions",,,704,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1990","1990","TONNEKM","Tonnes-kilometres","6","Millions",,,709,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1991","1991","TONNEKM","Tonnes-kilometres","6","Millions",,,713,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1992","1992","TONNEKM","Tonnes-kilometres","6","Millions",,,672,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1993","1993","TONNEKM","Tonnes-kilometres","6","Millions",,,647,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1994","1994","TONNEKM","Tonnes-kilometres","6","Millions",,,686,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1995","1995","TONNEKM","Tonnes-kilometres","6","Millions",,,529,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1996","1996","TONNEKM","Tonnes-kilometres","6","Millions",,,530,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1997","1997","TONNEKM","Tonnes-kilometres","6","Millions",,,566,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1998","1998","TONNEKM","Tonnes-kilometres","6","Millions",,,561,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","1999","1999","TONNEKM","Tonnes-kilometres","6","Millions",,,609,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,633,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,587,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,571,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,523,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,559,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,392,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,441,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,287,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,280,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,200,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,309,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,270,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,231,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,218,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,208,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,206.945675,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,201.499302247,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,213.657253404,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,223.158399212,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,191.152773984,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,162,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2021","2021","TONNEKM","Tonnes-kilometres","6","Millions",,,176,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2022","2022","TONNEKM","Tonnes-kilometres","6","Millions",,,167.41985092,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1981","1981","TONNEKM","Tonnes-kilometres","6","Millions",,,33806,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1982","1982","TONNEKM","Tonnes-kilometres","6","Millions",,,30596,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1983","1983","TONNEKM","Tonnes-kilometres","6","Millions",,,27372,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1984","1984","TONNEKM","Tonnes-kilometres","6","Millions",,,22998,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1985","1985","TONNEKM","Tonnes-kilometres","6","Millions",,,21919,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1986","1986","TONNEKM","Tonnes-kilometres","6","Millions",,,20446,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1987","1987","TONNEKM","Tonnes-kilometres","6","Millions",,,20474,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1988","1988","TONNEKM","Tonnes-kilometres","6","Millions",,,23478,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1989","1989","TONNEKM","Tonnes-kilometres","6","Millions",,,25136,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1990","1990","TONNEKM","Tonnes-kilometres","6","Millions",,,27196,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1991","1991","TONNEKM","Tonnes-kilometres","6","Millions",,,27157,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1992","1992","TONNEKM","Tonnes-kilometres","6","Millions",,,26668,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1993","1993","TONNEKM","Tonnes-kilometres","6","Millions",,,25433,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1994","1994","TONNEKM","Tonnes-kilometres","6","Millions",,,24493,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1995","1995","TONNEKM","Tonnes-kilometres","6","Millions",,,25101,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1996","1996","TONNEKM","Tonnes-kilometres","6","Millions",,,24968,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1997","1997","TONNEKM","Tonnes-kilometres","6","Millions",,,24617,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1998","1998","TONNEKM","Tonnes-kilometres","6","Millions",,,22920,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","1999","1999","TONNEKM","Tonnes-kilometres","6","Millions",,,22541,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,22136,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,22193,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,22131,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,22794,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,22476,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,22813,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,23192,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,23334,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,22256,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,20562,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,20398,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,19998,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,20471,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,21071,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,21029,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,21519,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,21265,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,21663,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,19369,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,19993,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,18340,,
"JPN","Japan","T-GOODS-RL-TOT","Rail freight transport","2021","2021","TONNEKM","Tonnes-kilometres","6","Millions",,,18042,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","1981","1981","TONNEKM","Tonnes-kilometres","6","Millions",,,678,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","1982","1982","TONNEKM","Tonnes-kilometres","6","Millions",,,654,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","1983","1983","TONNEKM","Tonnes-kilometres","6","Millions",,,582,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","1984","1984","TONNEKM","Tonnes-kilometres","6","Millions",,,601,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","1985","1985","TONNEKM","Tonnes-kilometres","6","Millions",,,601,,
