"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1995","1995","EUR","Euro","0","Units",,,226000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1996","1996","EUR","Euro","0","Units",,,192000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1997","1997","EUR","Euro","0","Units",,,224000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1998","1998","EUR","Euro","0","Units",,,254000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1999","1999","EUR","Euro","0","Units",,,264000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2000","2000","EUR","Euro","0","Units",,,233000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2001","2001","EUR","Euro","0","Units",,,204000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2002","2002","EUR","Euro","0","Units",,,225000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2003","2003","EUR","Euro","0","Units",,,275000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2004","2004","EUR","Euro","0","Units",,,328000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2005","2005","EUR","Euro","0","Units",,,281000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2006","2006","EUR","Euro","0","Units",,,234000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2007","2007","EUR","Euro","0","Units",,,211000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2008","2008","EUR","Euro","0","Units",,,327000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2009","2009","EUR","Euro","0","Units",,,361000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2010","2010","EUR","Euro","0","Units",,,388000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2011","2011","EUR","Euro","0","Units",,,355000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2012","2012","EUR","Euro","0","Units",,,450000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2013","2013","EUR","Euro","0","Units",,,605000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2014","2014","EUR","Euro","0","Units",,,643000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,567000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,537000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,521000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,491000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,462000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2020","2020","EUR","Euro","0","Units",,,684000000,,
"FIN","Finland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2021","2021","EUR","Euro","0","Units",,,606000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1995","1995","EUR","Euro","0","Units",,,29000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1996","1996","EUR","Euro","0","Units",,,2000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1997","1997","EUR","Euro","0","Units",,,9000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1998","1998","EUR","Euro","0","Units",,,35659484.51,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","1999","1999","EUR","Euro","0","Units",,,5223189.3,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2000","2000","EUR","Euro","0","Units",,,245005372.27,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2001","2001","EUR","Euro","0","Units",,,86127937.85,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2002","2002","EUR","Euro","0","Units",,,151516434.19,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2003","2003","EUR","Euro","0","Units",,,195394806.63,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2004","2004","EUR","Euro","0","Units",,,194179561.35,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2005","2005","EUR","Euro","0","Units",,,180829604.81,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2006","2006","EUR","Euro","0","Units",,,173899707.91,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2007","2007","EUR","Euro","0","Units",,,251038589.87,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2008","2008","EUR","Euro","0","Units",,,147379149.05,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2009","2009","EUR","Euro","0","Units",,,138532474.26,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2010","2010","EUR","Euro","0","Units",,,101666638.14,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2011","2011","EUR","Euro","0","Units",,,143086988.58,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","EUR","Euro","2012","2012","EUR","Euro","0","Units",,,64607366.86,,
