"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1981","1981","PKM","Passenger-kilometres","6","Millions",,,316204,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1982","1982","PKM","Passenger-kilometres","6","Millions",,,316347,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1983","1983","PKM","Passenger-kilometres","6","Millions",,,321452,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1984","1984","PKM","Passenger-kilometres","6","Millions",,,324136,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1985","1985","PKM","Passenger-kilometres","6","Millions",,,330102,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1986","1986","PKM","Passenger-kilometres","6","Millions",,,334741,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1987","1987","PKM","Passenger-kilometres","6","Millions",,,344737,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1988","1988","PKM","Passenger-kilometres","6","Millions",,,361771,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1989","1989","PKM","Passenger-kilometres","6","Millions",,,368818,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1990","1990","PKM","Passenger-kilometres","6","Millions",,,387478,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1991","1991","PKM","Passenger-kilometres","6","Millions",,,400084,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1992","1992","PKM","Passenger-kilometres","6","Millions",,,402287,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1993","1993","PKM","Passenger-kilometres","6","Millions",,,402792,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1994","1994","PKM","Passenger-kilometres","6","Millions",,,396406,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1995","1995","PKM","Passenger-kilometres","6","Millions",,,400084,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1996","1996","PKM","Passenger-kilometres","6","Millions",,,402156,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1997","1997","PKM","Passenger-kilometres","6","Millions",,,395278,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1998","1998","PKM","Passenger-kilometres","6","Millions",,,388917,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","1999","1999","PKM","Passenger-kilometres","6","Millions",,,385098,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,384287,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,385402,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,382239,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,385012,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,385163,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,391215,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,395908,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,405544,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,404585,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,393765,,
